=== 调试日志生成时间: 2025-10-30 16:46:08 ===

[2025-10-30 16:46:08] 系统: 调试系统初始化完成
[2025-10-30 16:46:08] 系统: 手动开关状态: 开启(1)
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0018秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0018秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0027秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0016秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0088秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0023秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.002秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0028秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0016秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0038秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0016秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0017秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0042秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.003秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0019秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.003秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0023秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0017秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0023秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0053秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0017秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0039秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0017秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0025秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0018秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0022秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.003秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0008秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0023秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0007秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 扫描媒体文件 耗时: 0.0738秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0032秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0029秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0018秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0008秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 扫描媒体文件 耗时: 0.0738秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0016秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0022秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0016秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0039秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.002秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0017秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0038秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:16] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0017秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0022秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0016秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0029秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0029秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0019秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:17] 性能监控: 扫描媒体文件 耗时: 0.0723秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0026秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0025秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:17] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:17] 性能监控: 扫描媒体文件 耗时: 0.0726秒
[2025-10-30 16:46:17] 性能监控: 解析数据库文件 耗时: 0.0147秒
[2025-10-30 16:46:17] 系统: 分类无内容: 🗃️ [数据库] koreanporn (1,941个视频) 📁 db
[2025-10-30 16:46:17] 性能监控: 获取分类 耗时: 0.3592秒
[2025-10-30 16:46:18] 性能监控: 解析数据库文件 耗时: 0.9411秒
[2025-10-30 16:46:18] 系统: 分类 🗃️ [数据库] lsp_videos (大) (224,165个视频) 📁 db 第1页返回: 10个视频
[2025-10-30 16:46:18] 性能监控: 获取分类 耗时: 1.3458秒
=== 调试日志生成时间: 2025-10-30 16:46:18 ===

[2025-10-30 16:46:18] 系统: 调试系统初始化完成
[2025-10-30 16:46:18] 系统: 手动开关状态: 开启(1)
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0052秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0037秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0057秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.003秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0029秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0095秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0037秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0036秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0056秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0034秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0018秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.003秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0039秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0017秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.004秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0101秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0106秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0034秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0035秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0051秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0032秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0026秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0033秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0038秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0032秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0028秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0034秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0033秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0033秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.003秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0027秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0023秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.004秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0079秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0072秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0044秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0036秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0046秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.003秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0027秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0036秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0029秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0029秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0029秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.002秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.002秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0047秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.003秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0022秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0033秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0105秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0065秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.002秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0019秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0017秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0017秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0059秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0043秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0119秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0136秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0031秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0034秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0048秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0016秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0014秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0008秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.003秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0023秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0007秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 扫描媒体文件 耗时: 0.1459秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0016秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0033秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0047秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0016秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0019秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0011秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0008秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0008秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0013秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0008秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0008秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0009秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0026秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0021秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0秒
[2025-10-30 16:46:18] 性能监控: 扫描媒体文件 耗时: 0.0736秒
=== 调试日志生成时间: 2025-10-30 16:46:18 ===

[2025-10-30 16:46:18] 系统: 调试系统初始化完成
[2025-10-30 16:46:18] 系统: 手动开关状态: 开启(1)
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0023秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0015秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0028秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.001秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0012秒
[2025-10-30 16:46:18] 性能监控: 递归扫描目录 耗时: 0.0011秒
